participant,list,serial_position,word,category,size,first_letter,word_length,color_r,color_g,color_b,pos_x,pos_y,list_group
0,2,7,MARIMBA,INSTRUMENTS,large,M,7,5,191,11,43.56034006285363,23.38421172286151,early
0,2,8,CUP,KITCHEN-RELATED,small,C,3,250,20,9,15.96901155666559,82.70682360828636,early
0,2,9,COTTONWOOD,TREES,large,C,10,173,209,105,18.438047030562185,33.27416144872748,early
0,2,10,SPRUCE,TREES,large,S,6,154,10,47,7.287294882294422,16.210344861399584,early
0,2,11,BELT,CLOTHING,small,B,4,43,114,157,5.887808908567176,18.05279711970698,early
0,2,12,MIXER,KITCHEN-RELATED,large,M,5,19,9,10,6.829619226400495,57.636617427470654,early
0,2,13,OAK,TREES,large,O,3,28,197,113,11.531848104162863,9.416947270839504,early
0,2,14,EVERGREEN,TREES,large,E,9,142,2,243,20.94434984573969,19.388343399628425,early
0,2,15,HARMONICA,INSTRUMENTS,small,H,9,105,43,133,84.57176992567959,47.29121891531385,early
0,2,16,COLANDER,KITCHEN-RELATED,small,C,8,138,197,73,3.564024602504341,16.94314928480554,early
0,3,1,LEOPARD,MAMMALS,large,L,7,83,245,217,49.64312279864308,61.09815441977546,early
0,3,2,PIANO,INSTRUMENTS,large,P,5,223,97,141,64.66635021317659,67.03766420385534,early
0,3,3,FERRET,MAMMALS,small,F,6,252,113,174,47.26573869932465,18.330291742356625,early
0,3,4,SAW,TOOLS,small,S,3,15,242,180,47.314117599510205,66.8697771444238,early
0,3,5,PROTRACTOR,TOOLS,small,P,10,15,249,169,28.897882660970584,26.568977801455187,early
0,3,6,SWITZERLAND,COUNTRIES,large,S,11,101,135,220,84.11213965837553,28.093953508825173,early
0,3,7,ENGLAND,COUNTRIES,large,E,7,82,159,23,67.85793623169411,52.30808269896894,early
0,3,8,CAT,MAMMALS,large,C,3,193,159,179,34.699719356673434,20.668221367513006,early
0,3,9,CLARINET,INSTRUMENTS,small,C,8,172,254,100,60.295147787563636,26.77917200813721,early
0,3,10,KAZOO,INSTRUMENTS,small,K,5,22,186,166,33.25023245676263,38.25289795885972,early
0,3,11,FRANCE,COUNTRIES,large,F,6,115,191,66,28.421891518279445,25.373357031210382,early
0,3,12,JAPAN,COUNTRIES,large,J,5,61,220,86,46.20231963174459,22.279651495938687,early
0,3,13,CHISEL,TOOLS,small,C,6,134,189,87,71.90541582798348,65.05831133646393,early
0,3,14,DRUM,INSTRUMENTS,large,D,4,21,68,164,16.30841064776281,32.95286906838625,early
0,3,15,BOLTS,TOOLS,small,B,5,43,189,73,46.340240358260964,48.44509651666513,early
0,3,16,SQUIRREL,MAMMALS,small,S,8,24,116,116,58.73079785096668,41.3033546256151,early
0,4,1,HAND,BODY PARTS,small,H,4,112,48,130,63.12555446395905,76.96410283484619,early
0,4,2,SCORPION,INSECTS,small,S,8,197,197,138,78.50152870409373,59.698755655271185,early
0,4,3,ANKLE,BODY PARTS,small,A,5,175,242,115,21.93489604106179,82.04175506928136,early
0,4,4,GUITAR,INSTRUMENTS,large,G,6,164,225,194,26.991281611986764,79.32882105307716,early
0,4,5,EUCALYPTUS,TREES,large,E,10,156,160,244,66.96266319222673,50.09256800946907,early
0,4,6,XYLOPHONE,INSTRUMENTS,large,X,9,137,207,92,7.833307343513843,52.570150015288206,early
0,4,7,MONARCH,INSECTS,small,M,7,182,40,6,70.81635068411573,37.48648508926969,early
0,4,8,ASH,TREES,large,A,3,97,75,136,33.57844337061722,61.80271691639259,early
0,4,9,FINGER,BODY PARTS,small,F,6,93,207,204,61.70917608580667,17.200684804850077,early
0,4,10,WORM,INSECTS,small,W,4,114,9,172,55.6582210681968,52.986919627191156,early
0,4,11,POPLAR,TREES,large,P,6,153,134,125,56.71285525291266,38.120772446694886,early
0,4,12,WILLOW,TREES,large,W,6,53,45,30,57.941158370885326,5.498898758251262,early
0,4,13,ACCORDION,INSTRUMENTS,large,A,9,234,172,3,73.66697146749537,19.474742017179203,early
0,4,14,LARVA,INSECTS,small,L,5,68,73,133,35.22504593550881,2.861176028973591,early
0,4,15,BONGOS,INSTRUMENTS,large,B,6,132,190,31,60.179804595181565,74.65190892497054,early
0,4,16,LIP,BODY PARTS,small,L,3,9,70,80,17.40293749966667,25.138212507611613,early
0,5,1,UTAH,STATES,large,U,4,148,155,7,27.060612507644567,2.482846462229631,early
0,5,2,FORK,KITCHEN-RELATED,small,F,4,189,0,92,61.21040195856666,25.94011477919521,early
0,5,3,PANTS,CLOTHING,small,P,5,58,155,238,76.30497782383702,0.3657034296206263,early
0,5,4,LILY,FLOWERS,small,L,4,24,38,241,7.613855737062593,49.773183011553776,early
0,5,5,MONTANA,STATES,large,M,7,85,226,157,82.12197150465204,65.5175868285278,early
0,5,6,MAINE,STATES,large,M,5,95,3,73,14.672168330308956,78.14769858902973,early
0,5,7,GIRDLE,CLOTHING,small,G,6,13,28,173,83.86129211587344,49.86283100369606,early
0,5,8,DRESS,CLOTHING,small,D,5,210,198,24,40.639001246813834,70.13269185125439,early
0,5,9,SUNFLOWER,FLOWERS,small,S,9,163,197,250,73.59791994496842,57.4532830112955,early
0,5,10,TOASTER,KITCHEN-RELATED,large,T,7,105,118,213,3.3163054924121838,10.744551868998517,early
0,5,11,UNDERWEAR,CLOTHING,small,U,9,36,110,230,84.46962499742095,45.566862551446775,early
0,5,12,ARIZONA,STATES,large,A,7,222,207,34,47.35091985382799,13.83634878373832,early
0,5,13,NARCISSUS,FLOWERS,small,N,9,26,188,252,36.37114781669352,68.0958872456289,early
0,5,14,SKILLET,KITCHEN-RELATED,large,S,7,118,222,155,23.749567449603372,65.71779197851795,early
0,5,15,DAISY,FLOWERS,small,D,5,132,8,149,72.28784071031444,15.964463528331422,early
0,5,16,KNIFE,KITCHEN-RELATED,small,K,5,185,203,17,69.53727338799222,47.80425257144931,early
0,6,1,ELEVATOR,BUILDING RELATED,large,E,8,208,224,194,70.19510144451424,54.34691054610783,early
0,6,2,AZALEA,FLOWERS,small,A,6,94,156,83,30.695897267120035,58.46846229164451,early
0,6,3,BUTTERCUP,FLOWERS,small,B,9,113,17,66,71.11499416268401,7.773084675198122,early
0,6,4,FOUNDATION,BUILDING RELATED,large,F,10,92,8,123,45.18360211436648,61.13385891199847,early
0,6,5,DAHLIA,FLOWERS,small,D,6,153,79,4,84.98387361901439,2.974338038307845,early
0,6,6,SAUCER,KITCHEN-RELATED,small,S,6,191,6,178,65.22924900859691,7.037309788287016,early
0,6,7,PICKLE,VEGETABLES,small,P,6,123,145,89,58.622009368926875,77.97142832947321,early
0,6,8,ONION,VEGETABLES,small,O,5,121,188,135,22.135000980786177,73.01916123578167,early
0,6,9,BROCCOLI,VEGETABLES,small,B,8,247,57,144,31.68637391024796,15.78288151470386,early
0,6,10,CAULIFLOWER,VEGETABLES,small,C,11,13,251,85,81.7016085577731,45.47037236808811,early
0,6,11,GRIDDLE,KITCHEN-RELATED,small,G,7,177,229,164,40.15401448455074,19.202508021746812,early
0,6,12,CARPET,BUILDING RELATED,large,C,6,173,173,160,79.70628192573321,69.8781859466394,early
0,6,13,LOG,FLOWERS,small,L,3,254,90,50,19.225691254153784,14.076878793557668,early
0,6,14,FLOOR,BUILDING RELATED,large,F,5,68,33,87,5.565598276086813,17.5279231983556,early
0,6,15,STRAINER,KITCHEN-RELATED,small,S,8,105,22,49,79.30406217547474,56.033582496275415,early
0,6,16,DISH,KITCHEN-RELATED,small,D,4,75,101,227,28.951595478714818,33.179987313934554,early
0,7,1,GLOVES,CLOTHING,small,G,6,125,195,91,70.34797533582525,24.092213660648547,early
0,7,2,TROUSERS,CLOTHING,small,T,8,143,90,132,68.70226289341423,37.22822187136013,early
0,7,3,TEAK,TREES,large,T,4,247,39,175,14.155105677185404,66.61452940247503,early
0,7,4,MANTIS,INSECTS,small,M,6,115,123,232,46.32142959093592,78.1391170500332,early
0,7,5,SWEATER,CLOTHING,small,S,7,8,88,30,70.06271955350405,71.76014539541193,early
0,7,6,BRA,CLOTHING,small,B,3,68,252,47,18.703261621857454,1.1430182624622687,early
0,7,7,CHICAGO,CITIES,large,C,7,183,46,148,29.728362226039373,62.19612799649093,early
0,7,8,SYCAMORE,TREES,large,S,8,177,244,152,19.752705577281027,5.851112693162857,early
0,7,9,MOSQUITO,INSECTS,small,M,8,90,248,69,41.304094649480355,6.5094245167594575,early
0,7,10,RENO,CITIES,large,R,4,202,158,125,30.10597408996172,59.167765170987565,early
0,7,11,MILLIPEDE,INSECTS,small,M,9,151,106,2,38.21517180257733,62.26795381374657,early
0,7,12,BERLIN,CITIES,large,B,6,182,58,208,61.37663534570197,70.74291601944626,early
0,7,13,HORNET,INSECTS,small,H,6,84,229,68,83.22638209076908,18.09976547452869,early
0,7,14,SYDNEY,CITIES,large,S,6,242,205,101,33.03552573194394,11.318627409050134,early
0,7,15,CEDAR,TREES,large,C,5,2,40,184,19.82713969489014,44.64989344985405,early
0,7,16,PALM,TREES,large,P,4,131,16,9,11.220785125542037,82.48498604948645,early
0,8,1,ITALY,COUNTRIES,large,I,5,141,170,240,3.126066432192076,40.93765993168495,late
0,8,2,BASS,INSTRUMENTS,large,B,4,86,2,253,43.50397133609936,87.10037709843371,late
0,8,3,LION,MAMMALS,large,L,4,32,247,120,5.289761599737506,3.993923249411921,late
0,8,4,TROMBONE,INSTRUMENTS,large,T,8,162,125,19,16.032083825217278,60.68452286661826,late
0,8,5,POLAND,COUNTRIES,large,P,6,126,49,10,9.232284298513422,9.54263246039004,late
0,8,6,VIOLA,INSTRUMENTS,large,V,5,150,230,35,40.212998045980925,30.10992896876,late
0,8,7,YAMS,VEGETABLES,small,Y,4,120,58,71,11.805821516658924,72.70508195631898,late
0,8,8,CARROT,VEGETABLES,small,C,6,119,32,22,60.166849852840414,3.965926227424216,late
0,8,9,ETHIOPIA,COUNTRIES,large,E,8,125,209,4,36.27573013081962,19.039862628548608,late
0,8,10,AUSTRALIA,COUNTRIES,large,A,9,24,61,188,73.28868017119936,51.19580567728759,late
0,8,11,MARACAS,INSTRUMENTS,small,M,7,72,216,39,21.94910179126261,1.2407564181483002,late
0,8,12,ZEBRA,MAMMALS,large,Z,5,216,253,225,12.323747189939533,55.50028706386781,late
0,8,13,LETTUCE,VEGETABLES,small,L,7,163,253,224,76.91227977418116,19.853138574757484,late
0,8,14,CELERY,VEGETABLES,small,C,6,215,60,210,23.646940390366243,1.7412581913647687,late
0,8,15,ELEPHANT,MAMMALS,large,E,8,33,204,32,63.62914370610556,21.28295137194388,late
0,8,16,PIG,MAMMALS,large,P,3,94,135,99,7.494198049213287,16.93571574327084,late
0,9,1,MONTREAL,CITIES,large,M,8,105,126,17,45.62838437740843,66.16102291440222,late
0,9,2,BROILER,KITCHEN-RELATED,large,B,7,195,163,64,24.437588127996314,3.1390430345824507,late
0,9,3,THERMOMETER,KITCHEN-RELATED,small,T,11,20,18,74,10.094634619226465,60.87935466554149,late
0,9,4,OVEN,KITCHEN-RELATED,large,O,4,55,123,69,65.45897140126112,82.99164136236877,late
0,9,5,ARMS,BODY PARTS,large,A,4,185,94,110,40.71866100281834,29.303169709392733,late
0,9,6,PELVIS,BODY PARTS,large,P,6,100,172,83,77.87639334531471,19.403176075355365,late
0,9,7,TUBA,INSTRUMENTS,large,T,4,211,62,251,31.888571107269186,17.364997239364577,late
0,9,8,PARIS,CITIES,large,P,5,201,18,71,3.7602150199849182,43.24420119254745,late
0,9,9,PICCOLO,INSTRUMENTS,small,P,7,200,166,5,14.13618819520346,78.62316368154238,late
0,9,10,ROME,CITIES,large,R,4,23,198,27,31.0181192258174,28.40564949441535,late
0,9,11,HIP,BODY PARTS,small,H,3,147,113,171,57.9919917038129,88.0019543643746,late
0,9,12,STOMACH,BODY PARTS,small,S,7,165,46,157,48.48716628909605,18.89041230614555,late
0,9,13,TAMBOURINE,INSTRUMENTS,small,T,10,87,51,137,35.87183859291377,66.70524473421024,late
0,9,14,TRUMPET,INSTRUMENTS,large,T,7,171,145,63,79.86750357325393,31.915509855764004,late
0,9,15,DALLAS,CITIES,large,D,6,67,50,170,33.48719080655623,23.758776491491968,late
0,9,16,MUG,KITCHEN-RELATED,small,M,3,181,140,156,5.2837574398664975,30.37468219686233,late
0,10,1,TORONTO,CITIES,large,T,7,58,195,142,74.62772590976259,55.45178004281489,late
0,10,2,OLIVE,VEGETABLES,small,O,5,200,107,119,79.48272874885087,31.8187312629907,late
0,10,3,KIDNEY,BODY PARTS,small,K,6,212,22,11,46.08166680371451,76.40729603525442,late
0,10,4,FOOT,BODY PARTS,small,F,4,173,182,233,78.79587909113806,49.97051499127181,late
0,10,5,MIAMI,CITIES,large,M,5,134,82,99,17.599778428736954,73.87513281832629,late
0,10,6,GOAT,MAMMALS,large,G,4,175,79,225,17.28257303542849,38.10712199344542,late
0,10,7,SHOULDER,BODY PARTS,small,S,8,120,200,79,67.75345367391662,50.91228300778312,late
0,10,8,SHEEP,MAMMALS,large,S,5,231,154,34,42.43716482680358,61.49355787394774,late
0,10,9,PANTHER,MAMMALS,large,P,7,177,190,168,38.40514644798641,23.340254669731397,late
0,10,10,SQUASH,VEGETABLES,small,S,6,252,11,231,80.84984383718647,66.48824018204131,late
0,10,11,ELBOW,BODY PARTS,small,E,5,96,186,169,67.93329372731728,9.456711918771362,late
0,10,12,AUBERGINE,VEGETABLES,small,A,9,247,251,175,1.3212571809977824,65.78507500197759,late
0,10,13,BOMBAY,CITIES,large,B,6,30,222,35,56.383669370249464,44.7741683755208,late
0,10,14,STOCKHOLM,CITIES,large,S,9,54,64,238,0.3384934124235417,40.16775958481047,late
0,10,15,WOLF,MAMMALS,large,W,4,253,199,13,84.65345617937501,22.470388430348034,late
0,10,16,ZUCCHINI,VEGETABLES,small,Z,8,62,9,195,66.51862175842281,32.0250060907544,late
0,11,1,JACKET,CLOTHING,small,J,6,56,175,153,53.05497756719338,25.559847441831618,late
0,11,2,GERMANY,COUNTRIES,large,G,7,60,123,195,48.334200342977724,33.82945639295277,late
0,11,3,EGYPT,COUNTRIES,large,E,5,90,190,7,1.3898997490664355,22.50817185909933,late
0,11,4,IRAN,COUNTRIES,large,I,4,224,129,194,32.132664886171284,18.53070730599603,late
0,11,5,POTATO,VEGETABLES,small,P,6,58,2,124,48.392340462337046,75.52259537121992,late
0,11,6,BLOUSE,CLOTHING,small,B,6,163,117,172,62.6213952935255,73.61328763377404,late
0,11,7,FURNACE,BUILDING RELATED,large,F,7,164,15,250,75.69790638677456,62.78501118783744,late
0,11,8,CHIMNEY,BUILDING RELATED,large,C,7,136,209,90,26.40176991039106,60.81030581318064,late
0,11,9,GARLIC,VEGETABLES,small,G,6,89,141,250,45.53320456553698,37.41405211595673,late
0,11,10,LOBBY,BUILDING RELATED,large,L,5,202,223,80,16.67703590136154,24.614045476461765,late
0,11,11,CLOSET,BUILDING RELATED,large,C,6,11,31,226,21.99012160204691,25.293325203566337,late
0,11,12,CAMISOLE,CLOTHING,small,C,8,63,234,153,55.33754742316369,61.90713498556758,late
0,11,13,SUIT,CLOTHING,small,S,4,196,66,214,7.201827568221217,8.78478671883187,late
0,11,14,CUBA,COUNTRIES,large,C,4,187,15,108,80.64445432279406,18.558880444475268,late
0,11,15,ARTICHOKE,VEGETABLES,small,A,9,136,120,222,31.833505461627727,38.83537912759213,late
0,11,16,SPINACH,VEGETABLES,small,S,7,134,225,229,21.004667383359976,24.755828311533886,late
0,12,1,FLORIDA,STATES,large,F,7,36,72,89,5.1322695373424345,2.6804424498807986,late
0,12,2,LEMON,FRUITS,small,L,5,222,4,110,69.96561618028866,9.502707172398528,late
0,12,3,MOOSE,MAMMALS,large,M,5,151,23,236,66.73031464940559,24.98265671433875,late
0,12,4,RIB,BODY PARTS,small,R,3,16,95,186,30.203377380171112,52.173783803399026,late
0,12,5,CLEMENTINE,FRUITS,small,C,10,244,136,45,44.779116273785455,55.50724679931585,late
0,12,6,PANCREAS,BODY PARTS,small,P,8,95,130,47,61.92615663466783,2.419767651948481,late
0,12,7,PEAR,FRUITS,small,P,4,223,90,57,23.602711428906648,49.40206175765222,late
0,12,8,MONKEY,MAMMALS,large,M,6,87,28,10,30.505723436168537,11.770030955297308,late
0,12,9,TONGUE,BODY PARTS,small,T,6,196,7,193,0.32812750325173945,57.35678555070096,late
0,12,10,TOOTH,BODY PARTS,small,T,5,49,198,142,5.759369602570131,30.398596992306537,late
0,12,11,IOWA,STATES,large,I,4,4,87,108,16.651982799063962,62.62905034950937,late
0,12,12,RACOON,MAMMALS,large,R,6,47,94,149,58.7680440752495,42.16939054614799,late
0,12,13,MICHIGAN,STATES,large,M,8,138,55,118,16.280891409243523,51.10366668321965,late
0,12,14,ANTELOPE,MAMMALS,large,A,8,59,166,68,3.815419375583483,59.0955509485667,late
0,12,15,POMEGRANATE,FRUITS,small,P,11,232,7,134,50.37566976522454,10.954247253171102,late
0,12,16,KANSAS,STATES,large,K,6,24,240,236,37.76313008694138,73.55571789775395,late
0,13,1,VANCOUVER,CITIES,large,V,9,129,48,46,56.34582233747511,17.952863755969293,late
0,13,2,NUTS,TOOLS,small,N,4,33,37,243,21.768227154728617,74.24223504186386,late
0,13,3,RULER,TOOLS,small,R,5,12,73,30,68.37003980159703,6.161226028556963,late
0,13,4,WISCONSIN,STATES,large,W,9,48,217,202,45.57403336844428,51.41739622074876,late
0,13,5,MANGO,FRUITS,small,M,5,43,171,8,71.1930461960546,1.3675901296351534,late
0,13,6,KUMQUAT,FRUITS,small,K,7,180,26,28,46.59352091848665,52.52232895914241,late
0,13,7,HAWAII,STATES,large,H,6,253,52,115,79.73452173536201,17.016576694020664,late
0,13,8,GLUE,TOOLS,small,G,4,16,248,184,34.812069515118544,40.23482519712073,late
0,13,9,WASHER,TOOLS,small,W,6,211,93,141,48.42489702519201,24.25998742937495,late
0,13,10,PHILADELPHIA,CITIES,large,P,12,204,178,164,8.829625555498765,13.457468726549962,late
0,13,11,BANANA,FRUITS,small,B,6,30,70,168,40.710368348235995,43.36688035713553,late
0,13,12,NECTARINE,FRUITS,small,N,9,118,220,244,12.37373971086999,22.25078256449388,late
0,13,13,CALIFORNIA,STATES,large,C,10,23,3,135,61.049908233994124,46.776553722569645,late
0,13,14,VERMONT,STATES,large,V,7,185,179,41,53.42491926091302,64.37869764369793,late
0,13,15,JERUSALEM,CITIES,large,J,9,123,94,34,38.48134645112438,72.47005695185084,late
0,13,16,TOKYO,CITIES,large,T,5,9,14,112,61.84061552029606,13.563051466918859,late
0,14,1,PETUNIA,FLOWERS,small,P,7,94,166,180,5.653184552983554,59.527370983174585,late
0,14,2,CARNATION,FLOWERS,small,C,9,4,198,212,13.067935144721345,53.9150097398493,late
0,14,3,KITCHEN,BUILDING RELATED,large,K,7,202,176,10,41.29837390273626,75.89709914208763,late
0,14,4,KNUCKLE,BODY PARTS,small,K,7,118,99,46,1.231317357625069,9.470727783621273,late
0,14,5,EAR,BODY PARTS,small,E,3,86,108,132,28.3497627107963,62.02153136350082,late
0,14,6,HEART,BODY PARTS,small,H,5,254,16,18,66.90621100921202,73.26227010256564,late
0,14,7,BARN,BUILDING RELATED,large,B,4,223,169,198,80.95298301629552,40.531649350009786,late
0,14,8,TIGER,MAMMALS,large,T,5,190,124,20,37.63260180673905,73.55720432836858,late
0,14,9,FACE,BODY PARTS,small,F,4,226,232,243,71.0237030992511,34.6071488691125,late
0,14,10,ROSE,FLOWERS,small,R,4,106,145,90,53.05652611174522,86.33314005314541,late
0,14,11,TULIP,FLOWERS,small,T,5,142,229,28,79.16407714067705,56.96481834398816,late
0,14,12,DONKEY,MAMMALS,large,D,6,186,35,38,68.8757583548338,58.190124274167985,late
0,14,13,ALCOVE,BUILDING RELATED,large,A,6,73,130,75,45.022744961860056,10.248866707862195,late
0,14,14,DOG,MAMMALS,large,D,3,54,83,146,36.20122812617506,49.37772403192474,late
0,14,15,GAZEBO,BUILDING RELATED,large,G,6,101,59,51,7.11977099658742,40.14736336329561,late
0,14,16,HIPPOPOTAMUS,MAMMALS,large,H,12,9,227,252,75.76279607901103,1.9288924227535773,late
0,15,1,HAMMER,TOOLS,small,H,6,75,96,103,69.56032757382272,13.577046019745847,late
0,15,2,MAPLE,TREES,large,M,5,246,247,152,50.54646838219632,45.02578468604393,late
0,15,3,FIG,FRUITS,small,F,3,37,34,165,66.93754200538643,17.069179206096393,late
0,15,4,SCREWS,TOOLS,small,S,6,69,175,130,68.54807115131015,21.46703634679754,late
0,15,5,ELM,TREES,large,E,3,92,148,114,50.86855353687591,40.74172358774179,late
0,15,6,TRIANGLE,INSTRUMENTS,small,T,8,128,225,122,67.07257327726062,22.22225681006511,late
0,15,7,WIRE,TOOLS,small,W,4,37,85,72,3.9064353395371034,59.46792702466739,late
0,15,8,HONEYDEW,FRUITS,small,H,8,88,218,14,79.20513191925818,20.504198242239763,late
0,15,9,HICKORY,TREES,large,H,7,218,49,128,33.12180527498976,7.295628041032124,late
0,15,10,CELLO,INSTRUMENTS,large,C,5,5,171,207,71.49076551123818,59.45610018764905,late
0,15,11,PLUM,FRUITS,small,P,4,242,32,205,74.8352235660923,21.09254084380259,late
0,15,12,WEDGE,TOOLS,small,W,5,182,15,198,53.18827101537807,72.94808559883516,late
0,15,13,PINE,TREES,large,P,4,248,49,81,54.60865313430231,22.250750196741816,late
0,15,14,RASPBERRY,FRUITS,small,R,9,173,118,80,38.677402018876556,35.833626042466975,late
0,15,15,VIOLIN,INSTRUMENTS,large,V,6,175,61,168,64.93076712417955,65.56244640669574,late
0,15,16,SAXOPHONE,INSTRUMENTS,large,S,9,103,185,202,60.695402410450626,10.006489059841122,late
1,0,1,PANTS,CLOTHING,small,P,5,226,155,199,42.91945079377388,66.64928318619654,early
1,0,2,GIRDLE,CLOTHING,small,G,6,114,186,7,16.83782322239699,53.906485793666036,early
1,0,3,UNDERWEAR,CLOTHING,small,U,9,102,40,198,74.06005873598612,63.32731521573635,early
1,0,4,DRESS,CLOTHING,small,D,5,21,56,144,80.87014996810083,13.029642746352284,early
1,0,5,FORK,KITCHEN-RELATED,small,F,4,48,13,96,77.43083711101981,40.45046779392436,early
1,0,6,SKILLET,KITCHEN-RELATED,large,S,7,89,108,47,35.30452527956931,19.50245050926389,early
1,0,7,KNIFE,KITCHEN-RELATED,small,K,5,115,2,250,80.68504043015037,60.74227882770316,early
1,0,8,TOASTER,KITCHEN-RELATED,large,T,7,231,64,231,50.11649188197997,64.6983487118969,early
1,0,9,ARIZONA,STATES,large,A,7,16,25,35,24.446302301730036,50.09455647390856,early
1,0,10,MONTANA,STATES,large,M,7,13,13,241,39.52097410251044,46.82861471001511,early
1,0,11,UTAH,STATES,large,U,4,220,204,172,7.195715989810163,11.481699054896136,early
1,0,12,MAINE,STATES,large,M,5,196,112,142,43.34272269231847,29.507092637641186,early
1,0,13,LILY,FLOWERS,small,L,4,185,74,201,8.201785661543019,62.124451445057595,early
1,0,14,NARCISSUS,FLOWERS,small,N,9,13,9,251,47.15811479379927,6.062075034899437,early
1,0,15,SUNFLOWER,FLOWERS,small,S,9,124,168,206,81.01451026123436,37.52741316522264,early
1,0,16,DAISY,FLOWERS,small,D,5,64,88,94,48.64744936469323,9.32108796323517,early
1,1,1,ANTELOPE,MAMMALS,large,A,8,93,209,98,39.63801248825479,10.927792910273624,early
1,1,2,RACOON,MAMMALS,large,R,6,236,169,19,61.43343735933526,60.77823033778512,early
1,1,3,MOOSE,MAMMALS,large,M,5,254,225,189,60.160891412121444,8.78554103682913,early
1,1,4,MONKEY,MAMMALS,large,M,6,25,86,157,65.01198603555997,20.466784885874645,early
1,1,5,TOOTH,BODY PARTS,small,T,5,145,160,162,49.659090834256745,53.93793586235534,early
1,1,6,RIB,BODY PARTS,small,R,3,227,157,162,51.413254457008954,22.634702486624565,early
1,1,7,PANCREAS,BODY PARTS,small,P,8,114,86,178,51.00639801814891,49.97543486213991,early
