participant,list,output_position,word,category,serial_position,list_group
1,9,4,GRIDDLE,KITCHEN-RELATED,4,late
1,10,1,MOUSE,MAMMALS,14,late
1,10,2,SPATULA,KITCHEN-RELATED,15,late
1,10,3,HORSE,MAMMALS,16,late
1,10,4,KIWI,FRUITS,2,late
1,10,5,STRAWBERRY,FRUITS,12,late
1,10,6,REFRIGERATOR,KITCHEN-RELATED,1,late
1,10,7,WINDOW,BUILDING RELATED,6,late
1,10,8,WOLF,MAMMALS,8,late
1,10,9,GIRAFFE,MAMMALS,5,late
1,10,10,TANGELO,FRUITS,3,late
1,11,1,JUMPER,CLOTHING,12,late
1,11,2,BELT,CLOTHING,14,late
1,11,3,COTTONWOOD,TREES,15,late
1,11,4,MARIMBA,INSTRUMENTS,16,late
1,11,5,MIXER,KITCHEN-RELATED,1,late
1,11,6,UKULELE,INSTRUMENTS,2,late
1,11,7,HARMONICA,INSTRUMENTS,11,late
1,12,1,ACCORDION,INSTRUMENTS,14,late
1,12,2,FINGER,BODY PARTS,15,late
1,12,3,ASH,TREES,16,late
1,12,4,EUCALYPTUS,TREES,8,late
1,12,5,LIP,BODY PARTS,11,late
1,12,6,HAND,BODY PARTS,12,late
1,12,7,POPLAR,TREES,5,late
1,13,1,ALASKA,STATES,16,late
1,13,2,PHILADELPHIA,CITIES,5,late
1,13,3,WASP,INSECTS,4,late
1,13,4,BEETLE,INSECTS,2,late
1,13,5,RHINOCEROS,MAMMALS,1,late
1,13,6,TERMITE,INSECTS,7,late
1,14,1,GERMANY,COUNTRIES,10,late
1,14,2,CUBA,COUNTRIES,12,late
1,14,3,CHIMNEY,BUILDING RELATED,13,late
1,14,4,BLOUSE,CLOTHING,15,late
1,14,5,GARLIC,VEGETABLES,16,late
1,14,6,CLOSET,BUILDING RELATED,9,late
1,14,7,FURNACE,BUILDING RELATED,2,late
1,15,1,APARTMENTS,,1,late
1,15,2,IN,,2,late
1,15,3,CHINO,,3,late
1,15,4,HEART,BODY PARTS,14,late
1,15,5,TULIP,FLOWERS,16,late
1,15,6,WIRE,TOOLS,5,late
1,15,7,FACE,BODY PARTS,3,late
2,0,1,VIOLA,INSTRUMENTS,16,early
2,0,2,PIG,MAMMALS,1,early
2,0,3,ZEBRA,MAMMALS,2,early
2,0,4,LION,MAMMALS,3,early
2,0,5,BASS,INSTRUMENTS,14,early
2,0,6,ITALY,COUNTRIES,8,early
2,0,7,ETHIOPIA,COUNTRIES,6,early
2,0,8,AUSTRALIA,COUNTRIES,5,early
2,0,9,AUSTRALIA,COUNTRIES,5,early
2,0,10,TROMBONE,INSTRUMENTS,13,early
2,0,11,CELERY,VEGETABLES,9,early
2,0,12,LETTUCE,VEGETABLES,12,early
2,0,13,CARROT,VEGETABLES,10,early
2,0,14,ITALY,COUNTRIES,8,early
2,0,15,ELEPHANT,MAMMALS,4,early
2,1,1,RIB,BODY PARTS,4,early
2,1,2,PANCREAS,BODY PARTS,2,early
2,1,3,IOWA,STATES,10,early
2,1,4,FLORIDA,STATES,11,early
2,1,5,KANSAS,STATES,12,early
2,1,6,MICHIGAN,STATES,9,early
2,1,7,CLEMENTINE,FRUITS,13,early
2,1,8,POMEGRANATE,FRUITS,14,early
2,1,9,LEMON,FRUITS,15,early
2,2,1,GLUE,TOOLS,13,early
2,2,2,NUTS,TOOLS,14,early
2,2,3,RULER,TOOLS,16,early
2,2,4,WASHER,TOOLS,15,early
2,2,5,VERMONT,STATES,2,early
2,2,6,WISCONSIN,STATES,4,early
2,2,7,CALIFORNIA,STATES,3,early
2,2,8,HAWAII,STATES,1,early
2,2,9,PHILADELPHIA,CITIES,8,early
2,2,10,IS,,10,early
2,2,11,JERUSALEM,CITIES,5,early
2,2,12,VANCOUVER,CITIES,6,early
2,2,13,TOKYO,CITIES,7,early
2,3,1,JACKET,CLOTHING,14,early
2,3,2,CAMISOLE,CLOTHING,15,early
2,3,3,BLOUSE,CLOTHING,16,early
2,3,4,CLOSET,BUILDING RELATED,1,early
2,3,5,FURNACE,BUILDING RELATED,4,early
2,3,6,CHIMNEY,BUILDING RELATED,3,early
2,3,7,SUIT,CLOTHING,13,early
2,3,8,IRAN,COUNTRIES,10,early
2,3,9,EGYPT,COUNTRIES,9,early
2,3,10,GERMANY,COUNTRIES,11,early
2,3,11,CUBA,COUNTRIES,12,early
2,4,1,ELEVATOR,BUILDING RELATED,16,early
2,4,2,CARPET,BUILDING RELATED,15,early
2,4,3,FOUNDATION,BUILDING RELATED,14,early
2,4,4,PICKLE,VEGETABLES,1,early
2,4,5,DAHLIA,FLOWERS,6,early
2,4,6,CAULIFLOWER,VEGETABLES,2,early
2,4,7,ONION,VEGETABLES,4,early
2,5,1,HARMONICA,INSTRUMENTS,2,early
2,5,2,UKULELE,INSTRUMENTS,1,early
2,5,3,BANJO,INSTRUMENTS,3,early
2,5,4,MIXER,KITCHEN-RELATED,6,early
2,5,5,BLENDER,KITCHEN-RELATED,8,early
2,5,6,CUP,KITCHEN-RELATED,7,early
2,5,7,SHIRT,CLOTHING,11,early
2,5,8,BELT,CLOTHING,12,early
2,5,9,COTTONWOOD,TREES,13,early
2,5,10,EVERGREEN,TREES,16,early
2,5,11,SPRUCE,TREES,15,early
2,5,12,POLAND,COUNTRIES,7,early
2,6,1,WOLF,MAMMALS,15,early
2,6,2,SHEEP,MAMMALS,16,early
2,6,3,PANTHER,MAMMALS,14,early
2,6,4,GOAT,MAMMALS,13,early
2,6,5,SHOULDER,BODY PARTS,1,early
2,6,6,ELBOW,BODY PARTS,4,early
2,6,7,KIDNEY,BODY PARTS,3,early
2,6,8,FOOT,BODY PARTS,2,early
2,6,9,FLORIDA,STATES,11,early
2,6,10,MIAMI,CITIES,5,early
2,6,11,VANCOUVER,CITIES,6,early
2,6,12,STOCKHOLM,CITIES,7,early
2,7,1,LARVA,INSECTS,16,early
2,7,2,SCORPION,INSECTS,15,early
2,7,3,LIP,BODY PARTS,11,early
2,7,4,WORM,INSECTS,14,early
2,7,5,HAND,BODY PARTS,9,early
2,7,6,FINGER,BODY PARTS,12,early
2,7,7,FOOT,BODY PARTS,2,early
2,7,8,ACCORDION,INSTRUMENTS,3,early
2,7,9,BANJO,INSTRUMENTS,3,early
2,7,10,GUITAR,INSTRUMENTS,4,early
2,7,11,ZEBRA,MAMMALS,2,early
2,7,12,NO,,12,early
2,7,13,XYLOPHONE,INSTRUMENTS,2,early
2,8,1,BRA,CLOTHING,15,late
2,8,2,BERLIN,CITIES,16,late
2,8,3,TROUSERS,CLOTHING,3,late
2,8,4,GLOVES,CLOTHING,1,late
2,8,5,SWEATER,CLOTHING,5,late
2,8,6,PALM,TREES,7,late
2,8,7,RENO,CITIES,9,late
2,8,8,SYDNEY,CITIES,6,late
2,8,9,SYCAMORE,TREES,4,late
2,8,10,TEAK,TREES,12,late
2,8,11,MOSQUITO,INSECTS,8,late
2,8,12,MONARCH,INSECTS,13,late
2,8,13,WORM,INSECTS,14,late
2,9,1,FRANCE,COUNTRIES,15,late
2,9,2,ENGLAND,COUNTRIES,3,late
2,9,3,SWITZERLAND,COUNTRIES,8,late
2,9,4,BOLTS,TOOLS,1,late
2,9,5,PIANO,INSTRUMENTS,2,late
2,9,6,CAT,MAMMALS,4,late
2,9,7,FERRET,MAMMALS,16,late
2,9,8,LEOPARD,MAMMALS,9,late
2,9,9,KAZOO,INSTRUMENTS,13,late
2,9,10,DRUM,INSTRUMENTS,6,late
2,10,1,MAPLE,TREES,16,late
2,10,2,FIG,FRUITS,1,late
2,11,1,TEXAS,STATES,8,late
2,11,2,OHIO,STATES,9,late
2,11,3,FOX,MAMMALS,1,late
2,11,4,BEETLE,INSECTS,3,late
2,11,5,OKRA,VEGETABLES,13,late
2,11,6,PUMPKIN,VEGETABLES,5,late
2,11,7,PENNSYLVANIA,STATES,2,late
2,11,8,LLAMA,MAMMALS,4,late
2,11,9,GINGER,VEGETABLES,15,late
2,11,10,RABBIT,MAMMALS,14,late
2,12,1,GUAVA,FRUITS,16,late
2,12,2,STRAWBERRY,FRUITS,15,late
2,12,3,SPATULA,KITCHEN-RELATED,2,late
2,12,4,DOOR,BUILDING RELATED,5,late
2,12,5,GLASS,KITCHEN-RELATED,3,late
2,12,6,HORSE,MAMMALS,1,late
2,12,7,HALL,BUILDING RELATED,6,late
2,13,1,FORK,KITCHEN-RELATED,1,late
2,13,2,GIRDLE,CLOTHING,2,late
2,13,3,UNDERWEAR,CLOTHING,3,late
2,13,4,UTAH,STATES,7,late
2,13,5,MAINE,STATES,14,late
2,13,6,KNIFE,KITCHEN-RELATED,5,late
2,13,7,PANTS,CLOTHING,16,late
2,13,8,LILY,FLOWERS,9,late
2,13,9,DAISY,FLOWERS,12,late
2,13,10,SUNFLOWER,FLOWERS,13,late
2,13,11,SKILLET,KITCHEN-RELATED,10,late
2,14,1,TUBA,INSTRUMENTS,16,late
2,14,2,TAMBOURINE,INSTRUMENTS,5,late
2,14,3,PICCOLO,INSTRUMENTS,14,late
2,14,4,HIP,BODY PARTS,1,late
2,14,5,ARMS,BODY PARTS,7,late
2,14,6,THERMOMETER,KITCHEN-RELATED,8,late
2,15,1,FACE,BODY PARTS,16,late
2,15,2,EAR,BODY PARTS,2,late
2,15,3,KNUCKLE,BODY PARTS,14,late
2,15,4,HEART,BODY PARTS,15,late
2,15,5,PETUNIA,FLOWERS,1,late
2,15,6,TULIP,FLOWERS,3,late
2,15,7,CARNATION,FLOWERS,10,late
2,15,8,ALCOVE,BUILDING RELATED,5,late
2,15,9,KITCHEN,BUILDING RELATED,6,late
2,15,10,TIGER,MAMMALS,4,late
2,15,11,DONKEY,MAMMALS,7,late
2,15,12,DOG,MAMMALS,13,late
3,0,1,CAMISOLE,CLOTHING,1,early
3,0,2,JACKET,CLOTHING,2,early
3,0,3,SUIT,CLOTHING,4,early
3,0,4,GERMANY,COUNTRIES,9,early
3,0,5,EGYPT,COUNTRIES,11,early
3,0,6,ARTICHOKE,VEGETABLES,13,early
3,0,7,FURNACE,BUILDING RELATED,6,early
3,1,1,PANCREAS,BODY PARTS,13,early
3,1,2,TOOTH,BODY PARTS,14,early
3,1,3,RIB,BODY PARTS,15,early
3,1,4,CLEMENTINE,FRUITS,11,early
3,1,5,MICHIGAN,STATES,3,early
3,1,6,FLORIDA,STATES,2,early
3,1,7,KANSAS,STATES,4,early
3,2,1,ROME,CITIES,4,early
3,2,2,DALLAS,CITIES,2,early
3,2,3,MONTREAL,CITIES,3,early
3,2,4,PICCOLO,INSTRUMENTS,7,early
3,2,5,TRUMPET,INSTRUMENTS,5,early
3,2,6,TAMBOURINE,INSTRUMENTS,8,early
3,2,7,STOMACH,BODY PARTS,15,early
3,3,1,AUSTRALIA,COUNTRIES,15,early
3,3,2,ITALY,COUNTRIES,14,early
3,3,3,ZEBRA,MAMMALS,11,early
3,3,4,ELEPHANT,MAMMALS,10,early
3,3,5,LION,MAMMALS,12,early
3,3,6,PIG,MAMMALS,9,early
3,3,7,VIOLA,INSTRUMENTS,5,early
3,3,8,MARACAS,INSTRUMENTS,7,early
3,4,1,RABBIT,MAMMALS,1,early
3,4,2,FOX,MAMMALS,3,early
3,4,3,GINGER,VEGETABLES,5,early
3,4,4,KRYSTAL'S,,4,early
3,4,5,ALASKA,STATES,15,early
3,5,1,FERRET,MAMMALS,15,early
3,5,2,LEOPARD,MAMMALS,16,early
3,5,3,PROTRACTOR,TOOLS,6,early
3,6,1,ROME,CITIES,4,early
3,6,2,CARNATION,FLOWERS,2,early
3,6,3,HIPPOPOTAMUS,MAMMALS,5,early
3,6,4,DOG,MAMMALS,6,early
3,6,5,KITCHEN,BUILDING RELATED,12,early
3,6,6,GAZEBO,BUILDING RELATED,10,early
3,6,7,OAK,TREES,2,early
3,6,8,KNUCKLE,BODY PARTS,15,early
3,7,1,ASH,TREES,11,early
3,7,2,WILLOW,TREES,12,early
3,7,3,MONARCH,INSECTS,5,early
3,7,4,WORM,INSECTS,6,early
3,7,5,SCORPION,INSECTS,7,early
3,7,6,EUCALYPTUS,TREES,10,early
3,8,1,BANJO,INSTRUMENTS,15,late
3,8,2,ROBE,CLOTHING,1,late
3,8,3,HARMONICA,INSTRUMENTS,3,late
3,8,4,COLANDER,KITCHEN-RELATED,8,late
3,8,5,UKULELE,INSTRUMENTS,12,late
3,9,1,CHICAGO,CITIES,6,late
3,9,2,ROME,CITIES,4,late
3,9,3,HORNET,INSECTS,2,late
3,9,4,MILLIPEDE,INSECTS,3,late
3,9,5,SWEATER,CLOTHING,14,late
3,9,6,TROUSERS,CLOTHING,4,late
3,9,7,CEDAR,TREES,5,late
3,10,1,GOAT,MAMMALS,7,late
3,10,2,PANTHER,MAMMALS,9,late
3,10,3,BOMBAY,CITIES,1,late
3,10,4,MIAMI,CITIES,14,late
3,10,5,ELBOW,BODY PARTS,10,late
3,10,6,STOCKHOLM,CITIES,15,late
3,11,1,HONEYDEW,FRUITS,9,late
3,11,2,VIOLIN,INSTRUMENTS,5,late
3,11,3,SCREWS,TOOLS,14,late
3,12,1,GUAVA,FRUITS,5,late
3,12,2,STRAWBERRY,FRUITS,8,late
3,12,3,IRAN,COUNTRIES,12,late
3,12,4,DOOR,BUILDING RELATED,11,late
3,12,5,PINE,TREES,1,late
3,12,6,HORSE,MAMMALS,3,late
3,12,7,WINDOW,BUILDING RELATED,4,late
3,13,1,WISCONSIN,STATES,13,late
3,13,2,VERMONT,STATES,14,late
3,13,3,VANCOUVER,CITIES,15,late
3,13,4,PHILADELPHIA,CITIES,2,late
3,13,5,NECTARINE,FRUITS,5,late
3,13,6,RULER,TOOLS,6,late
3,13,7,WASHER,TOOLS,1,late
3,14,1,BROCCOLI,VEGETABLES,11,late
3,14,2,CAULIFLOWER,VEGETABLES,15,late
3,14,3,FOUNDATION,BUILDING RELATED,1,late
3,14,4,CARPET,BUILDING RELATED,16,late
3,15,1,MONTANA,STATES,13,late
3,15,2,UTAH,STATES,14,late
3,15,3,DRESS,CLOTHING,15,late
3,15,4,KNIFE,KITCHEN-RELATED,16,late
3,15,5,FORK,KITCHEN-RELATED,6,late
3,15,6,DAISY,FLOWERS,8,late
3,15,7,LILY,FLOWERS,10,late
3,15,8,TOASTER,KITCHEN-RELATED,7,late
3,15,9,RENO,CITIES,16,late
3,15,10,SKILLET,KITCHEN-RELATED,9,late
3,15,11,NARCISSUS,FLOWERS,5,late
4,0,1,SYDNEY,CITIES,1,early
4,0,2,BERLIN,CITIES,2,early
4,0,3,CHICAGO,CITIES,3,early
4,0,4,RENO,CITIES,4,early
4,0,5,SWEATER,CLOTHING,5,early
4,0,6,GLOVES,CLOTHING,6,early
4,0,7,TROUSERS,CLOTHING,7,early
4,0,8,BRA,CLOTHING,8,early
4,0,9,SYCAMORE,TREES,9,early
4,0,10,CEDAR,TREES,11,early
4,0,11,HALL,BUILDING RELATED,6,early
4,0,12,MOSQUITO,INSECTS,15,early
4,0,13,HORNET,INSECTS,16,early
4,0,14,MILLIPEDE,INSECTS,14,early
4,0,15,TEAK,TREES,10,early
4,0,16,HALL,BUILDING RELATED,6,early
4,1,1,KIWI,FRUITS,1,early
4,1,2,GUAVA,FRUITS,2,early
4,1,3,TANGELO,FRUITS,3,early
4,1,4,STRAWBERRY,FRUITS,4,early
4,1,5,WINDOW,BUILDING RELATED,5,early
4,1,6,HALL,BUILDING RELATED,6,early
4,1,7,CORRIDOR,BUILDING RELATED,8,early
4,1,8,DOOR,BUILDING RELATED,7,early
4,1,9,COW,MAMMALS,13,early
4,1,10,HORSE,MAMMALS,14,early
4,1,11,GIRAFFE,MAMMALS,15,early
4,1,12,POT,KITCHEN-RELATED,9,early
4,1,13,GLASS,KITCHEN-RELATED,10,early
4,1,14,REFRIGERATOR,KITCHEN-RELATED,11,early
4,2,1,LOBBY,BUILDING RELATED,5,early
4,2,2,CLOSET,BUILDING RELATED,7,early
4,2,3,CHIMNEY,BUILDING RELATED,6,early
4,2,4,CAMISOLE,CLOTHING,16,early
4,2,5,JACKET,CLOTHING,13,early
4,2,6,BLOUSE,CLOTHING,14,early
4,2,7,CUBA,COUNTRIES,9,early
4,2,8,IRAN,COUNTRIES,10,early
4,2,9,EGYPT,COUNTRIES,11,early
4,2,10,GERMANY,COUNTRIES,12,early
4,3,1,TOASTER,KITCHEN-RELATED,1,early
4,3,2,KNIFE,KITCHEN-RELATED,2,early
4,3,3,FORK,KITCHEN-RELATED,3,early
4,3,4,SKILLET,KITCHEN-RELATED,4,early
4,3,5,NARCISSUS,FLOWERS,7,early
4,3,6,DAISY,FLOWERS,6,early
4,3,7,LILY,FLOWERS,5,early
4,3,8,SUNFLOWER,FLOWERS,8,early
4,3,9,MONTANA,STATES,9,early
4,3,10,ARIZONA,STATES,10,early
4,3,11,UTAH,STATES,11,early
4,3,12,MAINE,STATES,12,early
4,3,13,PANTS,CLOTHING,13,early
4,3,14,GIRDLE,CLOTHING,14,early
